case_id,size
CP_00_06210035_00087,58
CP_00_06210116_00093,72
CP_00_06210203_00091,52
CP_00_06210540_00077,51
CP_00_06210813_00093,49
CP_00_06211626_00090,59
CP_00_06211933_00093,49
CP_00_06212306_00092,53
CP_00_06220402_00090,58
CP_00_06220629_00087,52
CP_00_06220905_00094,49
CP_00_06220909_00087,51
CP_00_06221204_00093,93
CP_00_06221221_00090,61
CP_00_06221749_00087,52
CP_00_06222058_00090,73
CP_00_06230417_00088,51
CP_00_06230610_00094,49
CP_00_06230938_00092,90
CP_00_06231755_00091,70
CP_00_06240014_00090,79
CP_00_06240111_00092,105
CP_00_06240128_00150,229
CP_00_06241536_00092,48
CP_00_06250514_00092,48
CP_00_06250820_00092,50
CP_00_06251652_00090,49
CP_00_06261453_00093,49
CP_00_06261522_00094,50
CP_00_06261649_00092,53
CP_00_06261750_00091,51
CP_00_06271700_00088,330
CP_00_06271821_00087,70
CP_00_06271917_00088,66
CP_00_06280012_00092,88
CP_00_06280032_00093,183
CP_00_06280243_00088,73
CP_00_06280411_00023,110
CP_00_06280527_00090,66
CP_00_06280633_00150,64
CP_00_06280928_00092,127
CP_00_06281558_00091,76
CP_00_06281716_00097,49
CP_00_06282055_00093,49
CP_00_06282343_00023,78
CP_00_06290026_00092,115
CP_00_06290756_00093,51
CP_00_06290841_00092,70
CP_00_06291017_00150,50
CP_00_06291602_00087,52
CP_00_06291610_00094,49
CP_00_06291743_00092,52
CP_00_06300207_00150,111
CP_00_06300228_00090,48
CP_00_06300338_00092,70
CP_00_06300426_00092,48
CP_00_06300907_00090,87
CP_00_06301210_00093,49
CP_00_06301456_00150,51
CP_00_06301607_00090,48
CP_00_06301831_00090,320
CP_00_06302034_00091,57
CP_00_06302115_00092,76
CP_00_06302213_00093,49
CP_00_07010329_00087,158
CP_00_07010745_00090,76
CP_00_07010910_00092,75
CP_00_07010915_00093,59
CP_00_07011126_00093,49
CP_00_07011223_00091,50
CP_00_07011423_00150,75
CP_00_07011504_00092,49
CP_00_07011907_00093,149
CP_00_07012342_00093,49
CP_00_07020037_00090,115
CP_00_07020111_00093,90
CP_00_07020119_00092,60
CP_00_07021008_00093,242
CP_00_07021017_00090,183
CP_00_07021242_00092,99
CP_00_07021423_00094,79
CP_00_07021450_00092,49
CP_00_07021537_00038,49
CP_00_07021704_00150,375
CP_00_07022019_00092,97
