case_id,min,max,length,unnormal_indices
CP_00_06050414_00093,0.0,96.0,85,
CP_00_06050748_00092,0.0,250.0,68,
CP_00_06050804_00023,0.0,220.0,76,
CP_00_06051125_00087,0.0,218.0,78,
CP_00_06051256_00090,0.0,185.0,73,
CP_00_06051829_00090,0.0,114.0,49,
CP_00_06052128_00087,0.0,209.0,84,
CP_00_06052156_00090,0.0,149.0,48,
CP_00_06052310_00088,0.0,211.0,107,
CP_00_06060503_00090,0.0,281.0,59,
CP_00_06060559_00150,0.0,233.0,73,
CP_00_06060814_00088,0.0,155.0,78,
CP_00_06061524_00090,0.0,162.0,52,
CP_00_06080730_00090,0.0,172.0,124,
CP_00_06082332_00093,0.0,93.0,49,
CP_00_06090204_00087,0.0,133.0,63,
CP_00_06090516_00091,0.0,124.0,51,
CP_00_06090739_00093,0.0,123.0,49,
CP_00_06090807_00092,0.0,127.0,118,
CP_00_06090952_00090,0.0,150.0,55,
CP_00_06091218_00092,0.0,157.0,64,
CP_00_06092149_00090,0.0,168.0,57,
CP_00_06100018_00087,0.0,176.0,153,
CP_00_06100053_00091,0.0,139.0,117,
CP_00_06100442_00088,0.0,236.0,123,
CP_00_06100515_00093,0.0,188.0,51,
CP_00_06100739_00150,0.0,179.0,54,
CP_00_06100757_00088,0.0,112.0,51,
CP_00_06100814_00087,0.0,184.0,90,
CP_00_06100829_00117,0.0,184.0,72,
CP_00_06101033_00092,0.0,195.0,128,
CP_00_06101219_00023,0.0,197.0,50,
CP_00_06101345_00094,0.0,199.0,103,
CP_00_06101544_00090,0.0,159.0,47,
CP_00_06101706_00092,0.0,213.0,52,
CP_00_06111051_00092,0.0,140.0,49,
CP_00_06120014_00092,0.0,131.0,61,
CP_00_06120015_00092,0.0,127.0,76,
CP_00_06120155_00074,0.0,182.0,142,
CP_00_06120643_00092,0.0,75.0,48,
CP_00_06121251_00087,0.0,193.0,52,
CP_00_06121334_00091,0.0,183.0,51,
CP_00_06122208_00087,0.0,225.0,163,
CP_00_06130014_00093,0.0,207.0,77,
CP_00_06130043_00023,0.0,209.0,63,
CP_00_06130208_00075,0.0,137.0,51,
CP_00_06130326_00088,0.0,147.0,73,
CP_00_06131435_00090,0.0,142.0,47,
CP_00_06131542_00087,0.0,178.0,52,
CP_00_06140630_00093,0.0,173.0,49,
CP_00_06141612_00094,0.0,261.0,50,
CP_00_06150355_00091,0.0,259.0,113,
CP_00_06150506_00087,0.0,279.0,88,
CP_00_06150507_00088,0.0,235.0,51,
CP_00_06150544_00023,0.0,279.0,101,
CP_00_06151015_00092,0.0,170.0,63,
CP_00_06151214_00090,0.0,210.0,172,
CP_00_06160439_00091,0.0,122.0,99,
CP_00_06162054_00091,0.0,94.0,55,
CP_00_06162321_00074,0.0,122.0,51,
CP_00_06170124_00038,0.0,120.0,49,
CP_00_06170448_00074,0.0,127.0,52,
CP_00_06171038_00074,0.0,155.0,62,
CP_00_06171510_00087,0.0,160.0,52,
CP_00_06180247_00090,0.0,72.0,57,
CP_00_06180422_00093,0.0,73.0,49,
CP_00_06181045_00150,0.0,108.0,50,
CP_00_06190009_00150,0.0,248.0,243,
CP_00_06190247_00090,0.0,206.0,92,
CP_00_06190726_00090,0.0,72.0,46,
