case_id,min,max,length,unnormal_indices
CP_00_06010426_00092,-300.0,580.0,49,
CP_00_06010445_00097,-300.0,620.0,64,
CP_00_06010648_00150,-300.0,590.0,140,
CP_00_06022148_00093,-95.0,570.0,49,
CP_00_06030910_00092,-28665.0,710.0,91,
CP_00_06041908_00150,-300.0,460.0,51,
CP_00_06050243_00090,-28665.0,625.0,47,
CP_00_06050414_00093,-300.0,470.0,85,
CP_00_06050748_00092,-300.0,540.0,68,
CP_00_06050804_00023,-28665.0,670.0,76,
CP_00_06051125_00087,-28665.0,635.0,78,
CP_00_06051256_00090,-28665.0,640.0,73,
CP_00_06051829_00090,-300.0,660.0,49,
CP_00_06052128_00087,-28665.0,645.0,84,
CP_00_06052156_00090,-28665.0,645.0,48,
CP_00_06052310_00088,-28665.0,655.0,107,
CP_00_06060503_00090,-28665.0,640.0,59,
CP_00_06060559_00150,-28665.0,540.0,73,
CP_00_06060814_00088,-300.0,680.0,78,
CP_00_06061524_00090,-300.0,690.0,52,
CP_00_06080730_00090,-300.0,620.0,124,
CP_00_06082332_00093,-28665.0,570.0,49,
CP_00_06090204_00087,-170.0,570.0,63,
CP_00_06090516_00091,-230.0,520.0,51,
CP_00_06090739_00093,-300.0,500.0,49,
CP_00_06090807_00092,-300.0,650.0,118,
CP_00_06090952_00090,-300.0,630.0,55,
CP_00_06091218_00092,-300.0,590.0,64,
CP_00_06092149_00090,-28665.0,645.0,57,
CP_00_06100018_00087,-230.0,650.0,153,
CP_00_06100053_00091,-28665.0,575.0,117,
CP_00_06100442_00088,-240.0,670.0,123,
CP_00_06100515_00093,-300.0,500.0,51,
CP_00_06100739_00150,-28665.0,545.0,54,
CP_00_06100757_00088,-28665.0,630.0,51,
CP_00_06100814_00087,-28665.0,575.0,90,
CP_00_06100829_00117,-28665.0,535.0,72,
CP_00_06101033_00092,-28665.0,620.0,128,
CP_00_06101219_00023,-28665.0,595.0,50,
CP_00_06101345_00094,-28665.0,605.0,103,
CP_00_06101544_00090,-28665.0,600.0,47,
CP_00_06101706_00092,-300.0,600.0,52,
CP_00_06111051_00092,-300.0,530.0,49,
CP_00_06120014_00092,-300.0,520.0,61,
CP_00_06120015_00092,-300.0,530.0,76,
CP_00_06120155_00074,-28665.0,685.0,142,
CP_00_06120643_00092,-300.0,530.0,48,
CP_00_06121251_00087,-28665.0,630.0,52,
CP_00_06121334_00091,-260.0,670.0,51,
CP_00_06122208_00087,-28665.0,650.0,163,
CP_00_06130014_00093,-28665.0,685.0,77,
CP_00_06130043_00023,-28665.0,660.0,63,
CP_00_06130208_00075,-28665.0,640.0,51,
CP_00_06130326_00088,-28665.0,660.0,73,
CP_00_06131435_00090,-28665.0,670.0,47,
CP_00_06131542_00087,-28665.0,615.0,52,
CP_00_06140630_00093,-28660.0,610.0,49,
CP_00_06141612_00094,-28665.0,695.0,50,
CP_00_06150355_00091,-28665.0,585.0,113,
CP_00_06150506_00087,-28665.0,645.0,88,
CP_00_06150507_00088,-28665.0,675.0,51,
